number;scheduledTime;actualTime;status
Etihad Airways+EY 7348;1634703300.0;1634704500.0;Departed
Garuda Indonesia+GA 9248;1634703300.0;1634704500.0;Departed
Transavia+HV 5131;1634702700.0;1634702880.0;Departed
Korean Air+KE 6405;1634703300.0;1634704500.0;Departed
KLM+KL 1665;1634703300.0;1634704500.0;Departed
Xiamen+MF 9353;1634703300.0;1634704500.0;Departed
Virgin Atlantic+VS 5627;1634703300.0;1634704500.0;Departed
Transavia+HV 6109;1634706300.0;1634706300.0;Departed
KLM+KL 2663;1634706300.0;1634706300.0;Departed
KLM+KL 1251;1634703000.0;1634702700.0;Departed
KLM+KL 1197;1634703300.0;1634703240.0;Departed
EasyJet Europe+EC 7973;1634703000.0;1634706180.0;Departed
KLM+KL 1185;1634706900.0;1634706900.0;GateClosed
KLM+KL 1227;1634699700.0;1634699880.0;Departed
KLM+KL 1573;1634704500.0;1634705460.0;Departed
KLM+KL 1229;1634702400.0;1634702520.0;Departed
KLM+KL 1619;1634703900.0;1634703900.0;Departed
KLM+KL 1651;1634706600.0;1634706600.0;GateClosed
Xiamen+MF 9823;1634705400.0;1634705220.0;Departed
EasyJet Europe+EC 7903;1634698800.0;1634704920.0;Departed
Transavia+HV 6001;1634702400.0;1634702340.0;Departed
KLM+KL 1973;1634705400.0;1634705220.0;Departed
Delta Air Lines+DL 9433;1634705400.0;1634705220.0;Departed
Transavia+HV 6609;1634700000.0;1634700180.0;Departed
Virgin Atlantic+VS 5728;1634705700.0;1634705520.0;Departed
Delta Air Lines+DL 9363;1634705700.0;1634705520.0;Departed
Korean Air+KE 6439;1634705700.0;1634705520.0;Departed
KLM+KL 1693;1634705700.0;1634705520.0;Departed
KLM+KL 895;1635807000.0;1635807000.0;CanceledUncertain
KLM+KL 1021;1636724700.0;1636725600.0;Departed
Gol+G3 5530;1636724700.0;1636725600.0;Departed
Garuda Indonesia+GA 9236;1636724700.0;1636725600.0;Departed
EasyJet Europe+EC 3013;1636726200.0;1636725840.0;Departed
KLM+KL 1477;1636725600.0;1636725900.0;Departed
Delta Air Lines+DL 9635;1636725600.0;1636725900.0;Departed
Etihad Airways+EY 7303;1636725600.0;1636725900.0;Departed
Gol+G3 5528;1636725600.0;1636725900.0;Departed
Xiamen+MF 9950;1636725600.0;1636725900.0;Departed
Aeroflot+SU 3319;1636725600.0;1636725900.0;Departed
Virgin Atlantic+VS 6974;1636725600.0;1636725900.0;Departed
KLM+KL 937;1636725600.0;1636725960.0;Departed
Delta Air Lines+DL 9428;1636725600.0;1636725960.0;Departed
Gol+G3 5565;1636725600.0;1636725960.0;Departed
Kenya Airways+KQ 937;1636725600.0;1636725960.0;Departed
Xiamen+MF 9997;1636725600.0;1636725960.0;Departed
Aeroflot+SU 3295;1636725600.0;1636725960.0;Departed
Virgin Atlantic+VS 5518;1636725600.0;1636725960.0;Departed
Saudia+SV 934;1636720200.0;1636726080.0;Departed
KLM+KL 1417;1636725900.0;1636726260.0;Departed
Air France+AF 8291;1636725900.0;1636726260.0;Departed
Delta Air Lines+DL 9515;1636725900.0;1636726260.0;Departed
Transavia France+TO 4013;1636725900.0;1636725600.0;Departed
Kenya Airways+KQ 1417;1636725900.0;1636726260.0;Departed
UIA+PS 9441;1636725900.0;1636726260.0;Departed
Aeroflot+SU 3365;1636725900.0;1636726260.0;Departed
Virgin Atlantic+VS 5528;1636725900.0;1636726260.0;Departed
KLM+KL 1357;1636726500.0;1636726500.0;Departed
Virgin Atlantic+VS 6998;1636724700.0;1636725600.0;Departed
Xiamen+MF 9929;1636724700.0;1636725600.0;Departed
Delta Air Lines+DL 9637;1636726500.0;1636726500.0;Departed
Garuda Indonesia+GA 9532;1636726500.0;1636726500.0;Departed
Kenya Airways+KQ 1357;1636726500.0;1636726500.0;Departed
Virgin Atlantic+VS 5764;1636726500.0;1636726500.0;Departed
Transavia+HV 5821;1636726200.0;1636726560.0;Departed
Delta Air Lines+DL 7490;1636726200.0;1636726560.0;Departed
KLM+KL 2666;1636726200.0;1636726560.0;Departed
KLM+KL 1335;1636726500.0;1636726560.0;Departed
Delta Air Lines+DL 9511;1636726500.0;1636726560.0;Departed
Xiamen+MF 9771;1636726500.0;1636726560.0;Departed
Aeroflot+SU 3211;1636726500.0;1636726560.0;Departed
Virgin Atlantic+VS 5611;1636726500.0;1636726560.0;Departed
KLM+KL 947;1636726800.0;1636726620.0;Departed
Air France+AF 8237;1636726800.0;1636726620.0;Departed
Delta Air Lines+DL 9212;1636726800.0;1636726620.0;Departed
Kenya Airways+KQ 947;1636726800.0;1636726620.0;Departed
Virgin Atlantic+VS 6955;1636726800.0;1636726620.0;Departed
KLM+KL 1769;1636726200.0;1636726680.0;Departed
Delta Air Lines+DL 9280;1636726200.0;1636726680.0;Departed
Garuda Indonesia+GA 9234;1636726200.0;1636726680.0;Departed
Virgin Atlantic+VS 5678;1636726200.0;1636726680.0;Departed
British Airways+BA 8454;1636726800.0;1636726800.0;Boarding
KLM+KL 1079;1636726800.0;1636726860.0;Departed
Delta Air Lines+DL 9214;1636726800.0;1636726860.0;Departed
Gol+G3 5508;1636726800.0;1636726860.0;Departed
Garuda Indonesia+GA 9760;1636726800.0;1636726860.0;Departed
Kenya Airways+KQ 1079;1636726800.0;1636726860.0;Departed
Xiamen+MF 9937;1636726800.0;1636726860.0;Departed
UIA+PS 9493;1636726800.0;1636726860.0;Departed
Aeroflot+SU 3383;1636726800.0;1636726860.0;Departed
Virgin Atlantic+VS 7006;1636726800.0;1636726860.0;Departed
Air France+AF 5198;1636727100.0;1636727040.0;Departed
Delta Air Lines+DL 8218;1636727100.0;1636727040.0;Departed
Gol+G3 5660;1636727100.0;1636727040.0;Departed
Transavia+HV 6117;1636727400.0;1636727400.0;GateClosed
Delta Air Lines+DL 7482;1636727400.0;1636727400.0;GateClosed
KLM+KL 2651;1636727400.0;1636727400.0;GateClosed
KLM+KL 989;1636727400.0;1636727460.0;Departed
Delta Air Lines+DL 9657;1636727400.0;1636727460.0;Departed
Kenya Airways+KQ 989;1636727400.0;1636727460.0;Departed
Virgin Atlantic+VS 6989;1636727400.0;1636727460.0;Departed
KLM+KL 963;1636727400.0;1636727520.0;Departed
Etihad Airways+EY 7392;1636727400.0;1636727520.0;Departed
Gol+G3 5540;1636727400.0;1636727520.0;Departed
Kenya Airways+KQ 963;1636727400.0;1636727520.0;Departed
Xiamen+MF 9939;1636727400.0;1636727520.0;Departed
Aeroflot+SU 3399;1636727400.0;1636727520.0;Departed
Virgin Atlantic+VS 7051;1636727400.0;1636727520.0;Departed
KLM+KL 1549;1636727700.0;1636727520.0;Departed
Gol+G3 5552;1636727700.0;1636727520.0;Departed
Kenya Airways+KQ 1549;1636727700.0;1636727520.0;Departed
Xiamen+MF 9943;1636727700.0;1636727520.0;Departed
Aeroflot+SU 3351;1636727700.0;1636727520.0;Departed
Virgin Atlantic+VS 6982;1636727700.0;1636727520.0;Departed
KLM+KL 1537;1636727700.0;1636727640.0;Departed
Air France+AF 8357;1636727700.0;1636727640.0;Departed
Etihad Airways+EY 7380;1636727700.0;1636727640.0;Departed
Aeroflot+SU 3391;1636727700.0;1636727640.0;Departed
Virgin Atlantic+VS 6946;1636727700.0;1636727640.0;Departed
Air France+AF 1825;1636727700.0;1636727700.0;Canceled
KLM+KL 1489;1636728000.0;1636727760.0;Departed
Air France+AF 3229;1636728000.0;1636727760.0;Departed
Delta Air Lines+DL 9370;1636728000.0;1636727760.0;Departed
Etihad Airways+EY 7300;1636728000.0;1636727760.0;Departed
Gol+G3 5549;1636728000.0;1636727760.0;Departed
Xiamen+MF 9637;1636728000.0;1636727760.0;Departed
Aeroflot+SU 3337;1636728000.0;1636727760.0;Departed
Virgin Atlantic+VS 6976;1636728000.0;1636727760.0;Departed
Turkish+TK 7823;1636727100.0;1636727760.0;Departed
KLM+KL 1447;1636726200.0;1636727940.0;Boarding
Delta Air Lines+DL 9517;1636726200.0;1636727940.0;Boarding
Etihad Airways+EY 7002;1636726200.0;1636727940.0;Boarding
Gol+G3 5522;1636726200.0;1636727940.0;Boarding
Kenya Airways+KQ 1447;1636726200.0;1636727940.0;Boarding
Aeroflot+SU 3221;1636726200.0;1636727940.0;Boarding
Virgin Atlantic+VS 6953;1636726200.0;1636727940.0;Boarding
KLM+KL 1875;1636728000.0;1636728000.0;Departed
Aeromexico+AM 6652;1636728000.0;1636728000.0;Departed
Delta Air Lines+DL 8193;1636728000.0;1636728000.0;Departed
Xiamen+MF 9981;1636728000.0;1636728000.0;Departed
Virgin Atlantic+VS 5769;1636728000.0;1636728000.0;Departed
KLM+KL 1431;1636728000.0;1636728000.0;Departed
Delta Air Lines+DL 9628;1636728000.0;1636728000.0;Departed
Etihad Airways+EY 7367;1636728000.0;1636728000.0;Departed
Gol+G3 5536;1636728000.0;1636728000.0;Departed
Kenya Airways+KQ 1431;1636728000.0;1636728000.0;Departed
Xiamen+MF 9927;1636728000.0;1636728000.0;Departed
Aeroflot+SU 3237;1636728000.0;1636728000.0;Departed
Virgin Atlantic+VS 6959;1636728000.0;1636728000.0;Departed
KLM+KL 919;1636728000.0;1636728060.0;Departed
Air France+AF 3194;1636728000.0;1636728060.0;Departed
Delta Air Lines+DL 9210;1636728000.0;1636728060.0;Departed
Kenya Airways+KQ 919;1636728000.0;1636728060.0;Departed
Aeroflot+SU 3437;1636728000.0;1636728060.0;Departed
KLM+KL 1347;1636728300.0;1636728120.0;Departed
Alitalia+AZ 3758;1636728300.0;1636728120.0;Departed
Delta Air Lines+DL 9534;1636728300.0;1636728120.0;Departed
Etihad Airways+EY 7305;1636728300.0;1636728120.0;Departed
Gol+G3 8659;1636728300.0;1636728120.0;Departed
Kenya Airways+KQ 1347;1636728300.0;1636728120.0;Departed
Xiamen+MF 9647;1636728300.0;1636728120.0;Departed
UIA+PS 9448;1636728300.0;1636728120.0;Departed
Aeroflot+SU 3255;1636728300.0;1636728120.0;Departed
Virgin Atlantic+VS 5639;1636728300.0;1636728120.0;Departed
Unknown/Private owner+OORKS;1636728180.0;1636728180.0;Departed
KLM+KL 1063;1636728000.0;1636728240.0;Departed
Air France+AF 8347;1636728000.0;1636728240.0;Departed
Etihad Airways+EY 7352;1636728000.0;1636728240.0;Departed
Gol+G3 5538;1636728000.0;1636728240.0;Departed
Kenya Airways+KQ 1063;1636728000.0;1636728240.0;Departed
Aeroflot+SU 3285;1636728000.0;1636728240.0;Departed
Virgin Atlantic+VS 6963;1636728000.0;1636728240.0;Departed
KLM+KL 1831;1636728300.0;1636728300.0;Departed
Delta Air Lines+DL 8191;1636728300.0;1636728300.0;GateClosed
Garuda Indonesia+GA 8823;1636728300.0;1636728300.0;GateClosed
Xiamen+MF 9151;1636728300.0;1636728300.0;GateClosed
UIA+PS 9431;1636728300.0;1636728300.0;GateClosed
Virgin Atlantic+VS 5783;1636728300.0;1636728300.0;GateClosed
KLM+KL 1911;1636728300.0;1636728360.0;Departed
Aeromexico+AM 6636;1636728300.0;1636728360.0;Departed
Delta Air Lines+DL 8179;1636728300.0;1636728360.0;Departed
Xiamen+MF 9977;1636728300.0;1636728360.0;Departed
Virgin Atlantic+VS 5704;1636728300.0;1636728360.0;Departed
KLM+KL 1783;1636728600.0;1636728420.0;Departed
Aeromexico+AM 6205;1636728600.0;1636728420.0;Departed
Delta Air Lines+DL 8180;1636728600.0;1636728420.0;Departed
Etihad Airways+EY 7413;1636728600.0;1636728420.0;Departed
Gol+G3 8568;1636728600.0;1636728420.0;Departed
Xiamen+MF 9975;1636728600.0;1636728420.0;Departed
Saudia+SV 6304;1636728600.0;1636728420.0;Departed
Virgin Atlantic+VS 5709;1636728600.0;1636728420.0;Departed
KLM+KL 1887;1636728300.0;1636728420.0;Departed
Aeromexico+AM 6650;1636728300.0;1636728420.0;Departed
Delta Air Lines+DL 9566;1636728300.0;1636728420.0;Departed
Etihad Airways+EY 5836;1636728300.0;1636728420.0;Departed
Xiamen+MF 9987;1636728300.0;1636728420.0;Departed
Aeroflot+SU 3423;1636728300.0;1636728420.0;Departed
Virgin Atlantic+VS 5752;1636728300.0;1636728420.0;Departed
Aer Lingus+EI 609;1636728600.0;1636728480.0;Departed
KLM+KL 1731;1636728300.0;1636728480.0;Departed
Delta Air Lines+DL 9234;1636728300.0;1636728480.0;Departed
Garuda Indonesia+GA 9218;1636728300.0;1636728480.0;Departed
Kenya Airways+KQ 1731;1636728300.0;1636728480.0;Departed
Xiamen+MF 9983;1636728300.0;1636728480.0;Departed
KLM+KL 1183;1636727100.0;1636727040.0;Departed
SWISS+LX 729;1636721400.0;1636725720.0;Departed
Malaysia+MH 5685;1636728300.0;1636728480.0;Departed
Virgin Atlantic+VS 5695;1636728300.0;1636728480.0;Departed
KLM+KL 621;1636728600.0;1636728600.0;GateClosed
Air France+AF 6692;1636728600.0;1636728600.0;GateClosed
Delta Air Lines+DL 9374;1636728600.0;1636728600.0;GateClosed
Virgin Atlantic+VS 6832;1636728600.0;1636728600.0;GateClosed
KLM+KL 1133;1636728600.0;1636728660.0;Departed
Aeromexico+AM 6528;1636728600.0;1636728660.0;Departed
Delta Air Lines+DL 8202;1636728600.0;1636728660.0;Departed
Etihad Airways+EY 7312;1636728600.0;1636728660.0;Departed
Gol+G3 5687;1636728600.0;1636728660.0;Departed
Garuda Indonesia+GA 8831;1636728600.0;1636728660.0;Departed
Kenya Airways+KQ 1133;1636728600.0;1636728660.0;Departed
Xiamen+MF 9963;1636728600.0;1636728660.0;Departed
Malaysia+MH 5669;1636728600.0;1636728660.0;Departed
UIA+PS 9433;1636728600.0;1636728660.0;Departed
Air Europa+UX 3771;1636728600.0;1636728660.0;Departed
Virgin Atlantic+VS 5654;1636728600.0;1636728660.0;Departed
KLM+KL 1745;1636728600.0;1636728660.0;Departed
Delta Air Lines+DL 9294;1636728600.0;1636728660.0;Departed
Aeroflot+SU 3373;1636728600.0;1636728660.0;Departed
Air Europa+UX 3767;1636728600.0;1636728660.0;Departed
Virgin Atlantic+VS 5524;1636728600.0;1636728660.0;Departed
KLM+KL 1053;1636728000.0;1636728780.0;GateClosed
Alitalia+AZ 3762;1636728000.0;1636728780.0;GateClosed
Delta Air Lines+DL 8200;1636728000.0;1636728780.0;GateClosed
Etihad Airways+EY 7393;1636728000.0;1636728780.0;GateClosed
Gol+G3 5548;1636728000.0;1636728780.0;GateClosed
Aeroflot+SU 3271;1636728000.0;1636728780.0;GateClosed
Virgin Atlantic+VS 7042;1636728000.0;1636728780.0;GateClosed
Etihad Airways+EY 918;1636727700.0;1636728840.0;Departed
KLM+KL 1243;1636727700.0;1636728840.0;Departed
Air France+AF 8239;1636727700.0;1636728840.0;Departed
Delta Air Lines+DL 8196;1636727700.0;1636728840.0;Departed
Gol+G3 5598;1636727700.0;1636728840.0;Departed
Garuda Indonesia+GA 9222;1636727700.0;1636728840.0;Departed
Kenya Airways+KQ 1243;1636727700.0;1636728840.0;Departed
Xiamen+MF 9753;1636727700.0;1636728840.0;Departed
Air Mauritius+MK 7591;1636727700.0;1636728840.0;Departed
Virgin Atlantic+VS 5514;1636727700.0;1636728840.0;Departed
Oman Air+WY 5444;1636727700.0;1636728840.0;Departed
Transavia+HV 5951;1636728900.0;1636728900.0;Boarding
Delta Air Lines+DL 7509;1636728900.0;1636728900.0;Boarding
KLM+KL 2609;1636728900.0;1636728900.0;Boarding
KLM+KL 1705;1636729200.0;1636729200.0;GateClosed
Delta Air Lines+DL 9340;1636729200.0;1636729200.0;GateClosed
Etihad Airways+EY 7359;1636729200.0;1636729200.0;GateClosed
Gol+G3 5665;1636729200.0;1636729200.0;GateClosed
Garuda Indonesia+GA 9226;1636729200.0;1636729200.0;GateClosed
Kenya Airways+KQ 1705;1636729200.0;1636729200.0;GateClosed
Xiamen+MF 9957;1636729200.0;1636729200.0;GateClosed
UIA+PS 9495;1636729200.0;1636729200.0;GateClosed
Virgin Atlantic+VS 5734;1636729200.0;1636729200.0;GateClosed
Kenya Airways+KQ 1413;1634188800.0;1634188800.0;Departed
Xiamen+MF 9787;1634188800.0;1634188800.0;Departed
China Eastern+MU 1559;1634188800.0;1634188800.0;Departed
Aeroflot+SU 3361;1634188800.0;1634188800.0;Departed
Virgin Atlantic+VS 5526;1634188800.0;1634188800.0;Departed
KLM+KL 1993;1634189100.0;1634188860.0;Departed
Air France+AF 3137;1634189100.0;1634188860.0;Departed
Delta Air Lines+DL 8204;1634189100.0;1634188860.0;Departed
Virgin Atlantic+VS 5718;1634189100.0;1634188860.0;Departed
KLM+KL 1651;1634188200.0;1634188920.0;Departed
Delta Air Lines+DL 9388;1634188200.0;1634188920.0;Departed
Garuda Indonesia+GA 9496;1634188200.0;1634188920.0;Departed
Xiamen+MF 9607;1634188200.0;1634188920.0;Departed
China Eastern+MU 1825;1634188200.0;1634188920.0;Departed
KLM+KL 1301;1634188500.0;1634188980.0;Departed
Air France+AF 8259;1634188500.0;1634188980.0;Departed
Delta Air Lines+DL 9675;1634188500.0;1634188980.0;Departed
Xiamen+MF 9839;1634188500.0;1634188980.0;Departed
Aeroflot+SU 3437;1634188500.0;1634188980.0;Departed
Virgin Atlantic+VS 5545;1634188500.0;1634188980.0;Departed
Transavia+HV 6117;1634188800.0;1634189040.0;Departed
Delta Air Lines+DL 7491;1634188800.0;1634189040.0;Departed
KLM+KL 2651;1634188800.0;1634189040.0;Departed
KLM+KL 1143;1634188800.0;1634189100.0;Departed
China Southern+CZ 770;1634188800.0;1634189100.0;Departed
Delta Air Lines+DL 9305;1634188800.0;1634189100.0;Departed
Etihad Airways+EY 7340;1634188800.0;1634189100.0;Departed
Garuda Indonesia+GA 9210;1634188800.0;1634189100.0;Departed
Kenya Airways+KQ 1143;1634188800.0;1634189100.0;Departed
Xiamen+MF 9319;1634188800.0;1634189100.0;Departed
Delta Air Lines+DL 9288;1634188800.0;1634188800.0;Departed
Air France+AF 8317;1634188800.0;1634188800.0;Departed
KLM+KL 1413;1634188800.0;1634188800.0;Departed
Malaysia+MH 5643;1634188800.0;1634189100.0;Departed
Virgin Atlantic+VS 5757;1634188800.0;1634189100.0;Departed
Lufthansa+LH 2301;1634187000.0;1634189220.0;Departed
KLM+KL 1869;1634188500.0;1634189280.0;Departed
China Southern+CZ 7699;1634188500.0;1634189280.0;Departed
Delta Air Lines+DL 9567;1634188500.0;1634189280.0;Departed
Xiamen+MF 9391;1634188500.0;1634189280.0;Departed
China Eastern+MU 1613;1634188500.0;1634189280.0;Departed
Virgin Atlantic+VS 5767;1634188500.0;1634189280.0;Departed
KLM+KL 1917;1634189400.0;1634189340.0;Departed
Air France+AF 8482;1634189400.0;1634189340.0;Departed
Delta Air Lines+DL 8176;1634189400.0;1634189340.0;Departed
Virgin Atlantic+VS 5682;1634189400.0;1634189340.0;Departed
Delta Air Lines+DL 71;1634188500.0;1634189340.0;Departed
Air France+AF 3654;1634188500.0;1634189340.0;Departed
KLM+KL 6074;1634188500.0;1634189340.0;Departed
Virgin Atlantic+VS 4055;1634188500.0;1634189340.0;Departed
Suparna+Y8 7416;1634189400.0;1634189400.0;Canceled
KLM+KL 1385;1634189400.0;1634189640.0;Departed
Air France+AF 3243;1634189400.0;1634189640.0;Departed
Delta Air Lines+DL 9623;1634189400.0;1634189640.0;Departed
UIA+PS 9385;1634189400.0;1634189640.0;Departed
KLM+KL 1723;1634188500.0;1634189760.0;Departed
Air France+AF 3148;1634188500.0;1634189760.0;Departed
China Southern+CZ 7624;1634188500.0;1634189760.0;Departed
Delta Air Lines+DL 9530;1634188500.0;1634189760.0;Departed
Garuda Indonesia+GA 9220;1634188500.0;1634189760.0;Departed
Kenya Airways+KQ 1723;1634188500.0;1634189760.0;Departed
Xiamen+MF 9363;1634188500.0;1634189760.0;Departed
