"";"airline";"number";"scheduledTime";"actualTime";"status";"arrivalAirport";"aircraft";"diffMins"
"307";"Vueling";"VY 6815";2021-10-10 19:00:00;2021-10-10 19:54:00;"Departed";"LIRQ";"Airbus A319";54
"308";"Vueling";"VY 8305";2021-10-19 19:45:00;2021-10-19 20:05:00;"Departed";"LEBL";"Airbus A320-100/200";20
"309";"Vueling";"VY 8308";2021-11-12 18:00:00;2021-11-12 18:05:00;"Departed";"LEBL";"Airbus A321";5
"310";"Vueling";"VY 6291";2021-11-12 18:55:00;2021-11-12 18:52:00;"Departed";"LIRF";"Airbus A320-100/200";-3
"311";"Vueling";"VY 6293";2021-10-11 15:25:00;2021-10-11 15:24:00;"Departed";"LIRF";"Airbus A320-100/200";-1
"312";"Vueling";"VY 8351";2021-10-11 15:45:00;2021-10-11 15:59:00;"Departed";"LEVC";"Airbus A320-100/200";14
"313";"Vueling";"VY 8317";2022-01-13 09:25:00;2022-01-13 12:30:00;"Departed";"LEBL";"Airbus A320";185
"314";"Vueling";"VY 8303";2021-10-12 13:10:00;2021-10-12 13:26:00;"Departed";"LEBL";"Airbus A321";16
"315";"Vueling";"VY 8305";2021-12-28 20:45:00;2021-12-28 20:49:00;"Departed";"LEBL";"Airbus A320-100/200";4
"316";"Vueling";"VY 8367";2021-10-27 18:30:00;2021-10-27 18:44:00;"Departed";"LEMG";"Airbus A320";14
"317";"Vueling";"VY 8440";2022-01-01 11:10:00;2022-01-01 11:17:00;"Departed";"GCLP";"Airbus A320";7
"318";"Vueling";"VY 8435";2022-01-09 13:40:00;2022-01-09 13:31:00;"Departed";"LPPT";"Airbus A320";-9
"319";"Vueling";"VY 8435";2021-11-11 13:40:00;2021-11-11 13:46:00;"Departed";"LPPT";"Airbus A320";6
"320";"Vueling";"VY 8379";2021-11-11 20:05:00;2021-11-11 20:06:00;"Departed";"LEST";"Airbus A320-100/200";1
"321";"Vueling";"VY 8320";2022-01-13 18:00:00;2022-01-13 18:00:00;"Departed";"LEBL";"Airbus A320";0
"322";"Vueling";"VY 8301";2021-11-09 09:25:00;2021-11-09 09:28:00;"Departed";"LEBL";"Airbus A320";3
"323";"Vueling";"VY 8367";2022-01-09 18:50:00;2022-01-09 19:19:00;"Departed";"LEMG";"Airbus A320";29
"324";"Vueling";"VY 6831";2022-01-09 19:00:00;2022-01-09 19:20:00;"Departed";"LIRQ";"Airbus A319";20
"325";"Vueling";"VY 8308";2021-11-13 18:00:00;2021-11-13 18:07:00;"Departed";"LEBL";"Airbus A320-100/200";7
"326";"Vueling";"VY 8301";2021-10-29 08:20:00;2021-10-29 08:34:00;"Departed";"LEBL";"Airbus A321-100/200";14
"327";"Vueling";"VY 8352";2021-11-03 19:20:00;2021-11-03 19:39:00;"Departed";"LEVC";"Airbus A320-200 (Sharklets)";19
"328";"Vueling";"VY 8312";2021-11-03 19:40:00;2021-11-03 19:56:00;"Departed";"LEBL";"Airbus A320-100/200";16
"329";"Vueling";"VY 8303";2021-10-19 13:10:00;2021-10-19 13:33:00;"Departed";"LEBL";"Airbus A320-100/200";23
"330";"Vueling";"VY 8312";2021-11-11 19:40:00;2021-11-11 19:40:00;"Departed";"LEBL";"Airbus A320";0
"331";"Vueling";"VY 1375";2022-01-13 06:15:00;2022-01-13 06:08:00;"Departed";"LEAL";"Airbus A320";-7
"332";"Vueling";"VY 8314";2022-01-12 15:20:00;2022-01-12 16:05:00;"Departed";"LEBL";"Airbus A320-200 (Sharklets)";45
"333";"Vueling";"VY 8308";2021-11-08 19:20:00;2021-11-08 18:34:00;"Departed";"LEBL";"Airbus A320-100/200";-46
"334";"Vueling";"VY 8444";2021-11-07 06:15:00;2021-11-07 06:35:00;"Departed";"GCTS";"Airbus A320";20
"335";"Vueling";"VY 8311";2021-11-07 06:00:00;2021-11-07 06:11:00;"Departed";"LEBL";"Airbus A320";11
"336";"Vueling";"VY 8351";2021-10-25 15:45:00;2021-10-25 15:37:00;"Departed";"LEVC";"Airbus A320";-8
"337";"Vueling";"VY 8305";2021-10-17 19:45:00;2021-10-17 20:17:00;"Departed";"LEBL";"Airbus A321";32
"338";"Vueling";"VY 8367";2021-10-17 18:30:00;2021-10-17 19:56:00;"Departed";"LEMG";"Airbus A320";86
"339";"Vueling";"VY 8305";2022-01-01 20:45:00;2022-01-01 22:50:00;"Departed";"LEBL";"Airbus A320-100/200";125
"340";"Vueling";"VY 6293";2021-10-29 15:25:00;2021-10-29 15:32:00;"Departed";"LIRF";"Airbus A320";7
"341";"Vueling";"VY 8308";2021-11-04 18:00:00;2021-11-04 18:02:00;"Departed";"LEBL";"Airbus A321-200 (Sharklets)";2
"342";"Vueling";"VY 8367";2021-11-04 18:50:00;2021-11-04 18:50:00;"Departed";"LEMG";"Airbus A320-100/200";0
