"";"airline";"number";"scheduledTime";"actualTime";"status";"arrivalAirport";"aircraft";"diffMins"
"1607";"KLM";"KL 1139";2022-01-11 20:10:00;2022-01-11 20:06:00;"Departed";"EKCH";"Boeing 737-800 (winglets)";-4
"1608";"KLM";"KL 1205";2022-01-11 20:10:00;2022-01-11 20:06:00;"Departed";"ENZV";"Embraer EMB 190";-4
"1609";"KLM";"KL 1089";2022-01-11 20:20:00;2022-01-11 20:12:00;"Departed";"EICK";"Embraer EMB 175";-8
"1610";"KLM";"KL 1369";2022-01-11 20:30:00;2022-01-11 20:26:00;"Departed";"EPWA";"Embraer EMB 190";-4
"1611";"KLM";"KL 1163";2022-01-11 19:50:00;2022-01-11 19:51:00;"Departed";"ESGG";"Embraer EMB 190";1
"1612";"KLM";"KL 1121";2022-01-11 19:55:00;2022-01-11 19:55:00;"Departed";"ESSA";"Boeing 737-800 (winglets)";0
"1613";"KLM";"KL 1337";2022-01-11 20:00:00;2022-01-11 19:59:00;"Departed";"EKYT";"Embraer EMB 190";-1
"1614";"KLM";"KL 1681";2022-01-11 19:55:00;2022-01-11 19:55:00;"Departed";"LEBL";"Boeing 737-800 (winglets)";0
"1615";"KLM";"KL 1707";2022-01-11 19:45:00;2022-01-11 19:44:00;"Departed";"LEMD";"Boeing 737-700 (winglets)";-1
"1616";"KLM";"KL 1923";2022-01-11 19:40:00;2022-01-11 19:58:00;"Departed";"EPGD";"Embraer EMB 175";18
"1617";"KLM";"KL 1581";2022-01-11 19:55:00;2022-01-11 20:12:00;"Departed";"LGAV";"Boeing 737-800";17
"1618";"KLM";"KL 1981";2022-01-11 20:05:00;2022-01-11 20:17:00;"Departed";"LHBP";"Boeing 737-800 (winglets)";12
"1619";"KLM";"KL 1183";2022-01-11 19:55:00;2022-01-11 19:50:00;"Departed";"ESSL";"Embraer EMB 190";-5
"1620";"KLM";"KL 1419";2022-01-11 20:20:00;2022-01-11 20:09:00;"Departed";"LFLL";"Embraer EMB 175";-11
"1621";"KLM";"KL 1211";2022-01-11 20:20:00;2022-01-11 20:10:00;"Departed";"ENCN";"Embraer EMB 175";-10
"1622";"KLM";"KL 1637";2022-01-11 20:15:00;2022-01-11 20:10:00;"Departed";"LIMC";"Boeing 737-800 (winglets)";-5
"1623";"KLM";"KL 1627";2022-01-11 20:15:00;2022-01-11 20:08:00;"Departed";"LIML";"Embraer EMB 175";-7
"1624";"KLM";"KL 1849";2022-01-11 19:55:00;2022-01-11 20:00:00;"Departed";"LOWW";"Boeing 737-800 (winglets)";5
"1625";"KLM";"KL 1609";2022-01-11 20:00:00;2022-01-11 20:06:00;"Departed";"LIRF";"Boeing 737-800 (winglets)";6
"1626";"KLM";"KL 1647";2022-01-11 20:00:00;2022-01-11 19:58:00;"Departed";"LIRQ";"Embraer EMB 190";-2
"1627";"KLM";"KL 461";2022-01-11 19:55:00;2022-01-11 19:56:00;"Departed";"LLBG";"Boeing 737-900 (winglets)";1
"1628";"KLM";"KL 1379";2022-01-11 19:45:00;2022-01-11 19:49:00;"Departed";"LROP";"Boeing 737-800 (winglets)";4
"1629";"KLM";"KL 1937";2022-01-11 20:10:00;2022-01-11 20:15:00;"Departed";"LSGG";"Boeing 737-800 (winglets)";5
"1630";"KLM";"KL 1969";2022-01-11 20:00:00;2022-01-11 20:22:00;"Departed";"LSZH";"Boeing 737-700 (winglets)";22
"1631";"KLM";"KL 1697";2022-01-11 20:10:00;2022-01-11 20:07:00;"Departed";"LPPT";"Boeing 737-800 (winglets)";-3
"1632";"KLM";"KL 905";2022-01-11 19:45:00;2022-01-11 19:50:00;"Departed";"UUEE";"Boeing 737-800";5
"1633";"KLM";"KL 839";2022-01-11 19:40:00;2022-01-11 20:10:00;"Departed";"WSSS";"Boeing 777-200";30
"1634";"KLM";"KL 803";2022-01-11 20:00:00;2022-01-11 20:00:00;"Departed";"VTBS";"Boeing 777-300ER";0
"1635";"KLM";"KL 781";2021-11-06 11:25:00;2021-11-06 11:33:00;"Departed";"TBPB";"Airbus A330-300";8
"1636";"KLM";"KL 6013";2021-11-06 12:00:00;2021-11-06 11:53:00;"Departed";"KATL";"Airbus A330-300";-7
"1637";"KLM";"KL 691";2021-11-06 12:25:00;2021-11-06 12:52:00;"Departed";"CYYZ";"Boeing 787-9 Dreamliner";27
