"";"airline";"number";"scheduledTime";"actualTime";"status";"arrivalAirport";"aircraft";"diffMins"
"50";"Ryanair";"FR 324";2021-12-17 12:45:00;2021-12-17 13:01:00;"Departed";"LFOB";"Airbus A320";16
"51";"Ryanair";"FR 7291";2021-12-17 12:40:00;2021-12-17 13:33:00;"Departed";"LPPT";"Airbus A320";53
"52";"Ryanair";"FR 7295";2021-12-17 11:55:00;2021-12-17 11:55:00;"Departed";"LLBG";"Boeing 737-800";0
"53";"Ryanair";"FR 7293";2021-12-17 11:40:00;2021-12-17 11:57:00;"Departed";"EVRA";"W38";17
"54";"Ryanair";"FR 5757";2021-12-17 11:15:00;2021-12-17 11:32:00;"Departed";"LZKZ";"Airbus A320";17
"55";"Ryanair";"FR 5693";2021-12-17 11:00:00;2021-12-17 11:49:00;"Departed";"EHEH";"Airbus A320";49
"56";"Ryanair";"FR 7360";2021-12-17 10:45:00;2021-12-17 11:53:00;"Departed";"LIME";"Airbus A320";68
"57";"Ryanair";"FR 9475";2021-12-17 06:55:00;2021-12-17 06:54:00;"Departed";"LIRN";"Airbus A320";-1
"58";"Ryanair";"FR 7344";2021-12-17 05:40:00;2021-12-17 05:30:00;"Departed";"LIRF";"Boeing 737-800";-10
"59";"Ryanair";"FR 7340";2021-12-17 05:40:00;2021-12-17 05:55:00;"Departed";"LEMD";"Airbus A320";15
"60";"Ryanair";"FR 7289";2021-12-17 05:30:00;2021-12-17 05:43:00;"Departed";"LEXJ";"W38";13
"61";"Ryanair";"FR 7350";2021-12-17 05:20:00;2021-12-17 05:23:00;"Departed";"LEBL";"Airbus A320";3
"62";"Ryanair";"FR 7306";2021-12-17 05:00:00;2021-12-17 05:02:00;"Departed";"EGGD";"Airbus A320";2
"63";"Ryanair";"FR 7161";2021-12-17 05:00:00;2021-12-17 05:15:00;"Departed";"LLBG";"Airbus A320";15
"64";"Ryanair";"FR 9477";2021-12-17 04:45:00;2021-12-17 04:49:00;"Departed";"LCPH";"Airbus A320";4
"65";"Ryanair";"FR 7191";2021-12-17 04:45:00;2021-12-17 04:51:00;"Departed";"LIRF";"Airbus A320";6
"66";"Ryanair";"FR 7360";2021-12-16 18:05:00;2021-12-16 18:07:00;"Departed";"LIME";"Airbus A320";2
"67";"Ryanair";"FR 9475";2021-12-16 17:10:00;2021-12-16 17:13:00;"Departed";"LIRN";"Airbus A320";3
"68";"Ryanair";"FR 7364";2021-12-16 16:55:00;2021-12-16 17:19:00;"Departed";"EGSS";"Airbus A320";24
"69";"Ryanair";"FR 7273";2021-12-16 15:20:00;2021-12-16 15:26:00;"Departed";"EGPH";"Airbus A320";6
"70";"Ryanair";"FR 2364";2021-12-16 13:55:00;2021-12-16 13:55:00;"Departed";"LPFR";"Airbus A320";0
"71";"Ryanair";"FR 7291";2021-12-16 13:40:00;2021-12-16 13:52:00;"Departed";"LPPT";"Airbus A320";12
"72";"Ryanair";"FR 9480";2021-12-16 13:10:00;2021-12-16 13:18:00;"Departed";"EDDK";"Airbus A320";8
"73";"Ryanair";"FR 5567";2021-12-16 12:45:00;2021-12-16 12:58:00;"Departed";"EPMO";"Boeing 737 MAX 8";13
"74";"Ryanair";"FR 182";2021-12-16 12:40:00;2021-12-16 13:04:00;"Departed";"LBSF";"W38";24
"75";"Ryanair";"FR 7299";2021-12-16 11:40:00;2021-12-16 11:46:00;"Departed";"LICC";"Airbus A320";6
"76";"Ryanair";"FR 975";2021-12-16 10:50:00;2021-12-16 11:00:00;"Departed";"UKBB";"Airbus A320";10
"77";"Ryanair";"FR 9477";2021-12-16 07:00:00;2021-12-16 07:06:00;"Departed";"LCPH";"Airbus A320";6
"78";"Ryanair";"FR 7344";2021-12-16 05:45:00;2021-12-16 05:45:00;"Departed";"LIRF";"Airbus A320";0
"79";"Ryanair";"FR 7320";2021-12-16 05:30:00;2021-12-16 05:23:00;"Departed";"EETN";"Airbus A320";-7
"80";"Ryanair";"FR 7340";2021-12-16 05:25:00;2021-12-16 05:21:00;"Departed";"LEMD";"Airbus A320";-4
"81";"Ryanair";"FR 214";2021-12-16 05:25:00;2021-12-16 05:24:00;"Departed";"LIMC";"Airbus A320";-1
"82";"Ryanair";"FR 7350";2021-12-16 05:20:00;2021-12-16 05:27:00;"Departed";"LEBL";"Airbus A320";7
"83";"Ryanair";"FR 7161";2021-12-16 04:45:00;2021-12-16 04:46:00;"Departed";"LLBG";"Airbus A320";1
"84";"Ryanair";"FR 180";2021-12-15 17:50:00;2021-12-15 17:59:00;"Departed";"LGTS";"Airbus A320";9
"85";"Ryanair";"FR 7191";2021-12-15 17:50:00;2021-12-15 17:56:00;"Departed";"LIRF";"Airbus A320";6
"86";"Ryanair";"FR 5693";2021-12-15 13:50:00;2021-12-15 13:55:00;"Departed";"EHEH";"Airbus A320";5
"87";"Ryanair";"FR 4385";2021-12-15 13:50:00;2021-12-15 14:03:00;"Departed";"EDLW";"Airbus A320";13
