"";"airline";"number";"scheduledTime";"actualTime";"status";"arrivalAirport";"aircraft";"diffMins"
"2557";"Lufthansa";"LH 1348";2021-11-17 11:20:00;2021-11-17 11:20:00;"Departed";"EPWA";"Airbus A319";0
"2558";"Lufthansa";"LH 828";2021-11-17 11:20:00;2021-11-17 11:20:00;"Departed";"EKCH";"Airbus A321-100/200";0
"2559";"Lufthansa";"LH 992";2021-11-17 11:20:00;2021-11-17 11:20:00;"Departed";"EHAM";"Airbus A319";0
"2560";"Lufthansa";"LH 954";2021-11-17 11:00:00;2021-11-17 11:25:00;"Departed";"EGBB";"Embraer EMB 190";25
"2561";"Lufthansa";"LH 1372";2021-11-17 11:30:00;2021-11-17 11:30:00;"Departed";"EPWR";"Canadair CRJ 900";0
"2562";"Lufthansa";"LH 252";2021-11-17 11:35:00;2021-11-17 11:35:00;"Departed";"LIMC";"Airbus A319";0
"2563";"Lufthansa";"LH 1076";2021-11-17 11:40:00;2021-11-17 11:40:00;"Departed";"LFLL";"Airbus A320";0
"2564";"Lufthansa";"LH 1204";2021-11-17 11:40:00;2021-11-17 11:40:00;"Departed";"LFSB";"Canadair CRJ 900NG";0
"2565";"Lufthansa";"LH 1356";2021-11-17 11:20:00;2021-11-17 11:40:00;"Departed";"EPKT";"Canadair CRJ 900NG";20
"2566";"Lufthansa";"LH 1390";2021-11-17 11:45:00;2021-11-17 11:45:00;"Departed";"EPPO";"Canadair CRJ 900";0
"2567";"Lufthansa";"LH 144";2021-11-17 11:50:00;2021-11-17 11:50:00;"Departed";"EDDN";"Airbus A319";0
"2568";"Lufthansa";"LH 394";2021-11-17 11:50:00;2021-11-17 11:50:00;"Departed";"ELLX";"Canadair CRJ 900NG";0
"2569";"Lufthansa";"LH 6348";2021-11-17 11:50:00;2021-11-17 11:50:00;"Departed";"LOWW";"Airbus A320-100/200";0
"2570";"Lufthansa";"LH 354";2021-11-17 12:00:00;2021-11-17 12:00:00;"Departed";"EDDW";"Airbus A321-100/200";0
"2571";"Lufthansa";"LH 1428";2021-12-13 18:15:00;2021-12-13 18:15:00;"Departed";"LBSF";"Airbus A320-200 (Sharklets)";0
"2572";"Lufthansa";"LH 1514";2021-10-23 11:45:00;2021-10-23 11:45:00;"Departed";"LGKV";"Airbus A319";0
"2573";"Lufthansa";"LH 422";2021-10-23 11:30:00;2021-10-23 11:45:00;"Departed";"KBOS";"Airbus A340-300";15
"2574";"Lufthansa";"LH 464";2021-10-23 11:45:00;2021-10-23 11:45:00;"Departed";"KMCO";"Airbus A330-300";0
"2575";"Lufthansa";"LH 498";2021-10-23 11:30:00;2021-10-23 11:45:00;"Departed";"MMMX";"Boeing 747-8 Intercontinental";15
"2576";"Lufthansa";"LH 646";2021-10-23 11:45:00;2021-10-23 11:45:00;"Departed";"UAAA";"Airbus A330-300";0
"2577";"Lufthansa";"LH 838";2021-10-23 11:00:00;2021-10-23 11:45:00;"Departed";"EKBI";"Airbus A321-100/200";45
"2578";"Lufthansa";"LH 402";2021-10-23 11:20:00;2021-10-23 11:40:00;"Departed";"KEWR";"Boeing 747-200 Mixed Configuration";20
"2579";"Lufthansa";"LH 252";2021-10-23 11:00:00;2021-10-23 11:40:00;"Departed";"LIMC";"Airbus A320-100/200";40
"2580";"Lufthansa";"LH 1282";2021-10-23 11:20:00;2021-10-23 11:45:00;"Departed";"LGAV";"Airbus A320";25
"2581";"Lufthansa";"LH 1174";2021-10-23 11:55:00;2021-10-23 11:55:00;"Departed";"LEAL";"Airbus A321-100/200";0
"2582";"Lufthansa";"LH 6792";2021-10-23 11:55:00;2021-10-23 11:55:00;"Departed";"CYYC";"Boeing 787-9 Dreamliner";0
"2583";"Lufthansa";"LH 1110";2021-10-23 11:45:00;2021-10-23 12:00:00;"Departed";"LEST";"Airbus A320 NEO";15
"2584";"Lufthansa";"LH 518";2021-10-23 11:40:00;2021-10-23 12:00:00;"Departed";"MROC";"Airbus A340-300";20
"2585";"Lufthansa";"LH 1556";2021-10-23 12:00:00;2021-10-23 12:00:00;"Departed";"LGTS";"Canadair CRJ 900NG";0
"2586";"Lufthansa";"LH 908";2021-10-23 12:00:00;2021-10-23 12:00:00;"Departed";"EGLL";"Airbus A320";0
"2587";"Lufthansa";"LH 828";2021-10-23 10:55:00;2021-10-23 12:05:00;"Departed";"EKCH";"Airbus A321";70
"2588";"Lufthansa";"LH 354";2021-10-23 12:05:00;2021-10-23 12:05:00;"Departed";"EDDW";"Embraer EMB 190";0
"2589";"Lufthansa";"LH 478";2021-10-23 12:05:00;2021-10-23 12:05:00;"Departed";"CYUL";"Airbus A340-300";0
"2590";"Lufthansa";"LH 190";2021-10-23 11:30:00;2021-10-23 12:10:00;"Departed";"EDDB";"Airbus A320-100/200";40
"2591";"Lufthansa";"LH 760";2021-10-23 11:40:00;2021-10-23 11:55:00;"Departed";"VIDP";"Boeing 747-8 Intercontinental";15
"2592";"Lufthansa";"LH 210";2021-10-23 12:10:00;2021-10-23 12:10:00;"Departed";"EDDC";"Embraer EMB 195";0
"2593";"Lufthansa";"LH 850";2021-10-23 12:15:00;2021-10-23 12:15:00;"Departed";"EFHK";"Airbus A321-100/200";0
"2594";"Lufthansa";"LH 1310";2021-10-23 11:50:00;2021-10-23 12:35:00;"Departed";"LMML";"Airbus A320";45
"2595";"Lufthansa";"LH 1150";2021-10-23 12:35:00;2021-10-23 12:35:00;"Departed";"LEMG";"Airbus A321-100/200";0
"2596";"Lufthansa";"LH 322";2021-10-23 12:10:00;2021-10-23 12:35:00;"Departed";"LIRN";"Embraer EMB 190";25
"2597";"Lufthansa";"LH 226";2021-10-23 12:40:00;2021-10-23 12:40:00;"Departed";"LICA";"Airbus A321-100/200";0
"2598";"Lufthansa";"LH 492";2021-10-23 11:35:00;2021-10-23 12:45:00;"Departed";"CYVR";"Airbus A350-900";70
"2599";"Lufthansa";"LH 112";2021-10-23 11:15:00;2021-10-23 12:50:00;"Departed";"EDDM";"Airbus A320-100/200";95
"2600";"Lufthansa";"LH 9416";2021-10-23 12:55:00;2021-10-23 12:55:00;"Departed";"LTBJ";"Boeing 737-800";0
"2601";"Lufthansa";"LH 446";2021-10-23 11:40:00;2021-10-23 13:00:00;"Departed";"KDEN";"Airbus A350-900";80
"2602";"Lufthansa";"LH 1420";2021-10-23 12:20:00;2021-10-23 13:00:00;"Departed";"LROP";"Airbus A319";40
"2603";"Lufthansa";"LH 1182";2021-10-23 13:00:00;2021-10-23 13:00:00;"Departed";"LEVC";"Airbus A320";0
"2604";"Lufthansa";"LH 1496";2021-10-23 13:15:00;2021-10-23 13:15:00;"Departed";"LEIB";"Embraer EMB 195";0
"2605";"Lufthansa";"LH 470";2021-10-23 11:55:00;2021-10-23 12:10:00;"Departed";"CYYZ";"Airbus A350-900";15
"2606";"Lufthansa";"LH 600";2021-10-23 12:20:00;2021-10-23 12:20:00;"Departed";"OIIE";"Airbus A340-300";0
"2607";"Lufthansa";"LH 9416";2021-12-18 13:10:00;2021-12-18 13:10:00;"Departed";"LTBJ";"Boeing 737-800";0
"2608";"Lufthansa";"LH 938";2021-12-18 13:10:00;2021-12-18 13:10:00;"Departed";"EGCC";"Airbus A320-100/200";0
"2609";"Lufthansa";"LH 908";2021-12-18 13:00:00;2021-12-18 13:35:00;"Departed";"EGLL";"Airbus A320 NEO";35
"2610";"Lufthansa";"LH 402";2021-12-18 12:30:00;2021-12-18 13:15:00;"Departed";"KEWR";"Boeing 747-8 Intercontinental";45
"2611";"Lufthansa";"LH 294";2021-12-18 13:15:00;2021-12-18 13:15:00;"Departed";"LIBD";"Airbus A320-100/200";0
"2612";"Lufthansa";"LH 1178";2021-12-18 12:45:00;2021-12-18 13:10:00;"Departed";"LPPR";"Airbus A321-100/200";25
"2613";"Lufthansa";"LH 498";2021-12-18 12:35:00;2021-12-18 13:15:00;"Departed";"MMMX";"Boeing 747-8 Intercontinental";40
"2614";"Lufthansa";"LH 6056";2022-01-11 18:50:00;2022-01-11 18:50:00;"Departed";"ESSA";"Canadair CRJ 700";0
"2615";"Lufthansa";"LH 5764";2021-11-25 12:10:00;2021-11-25 12:10:00;"Departed";"LSGG";"Bombardier CS100";0
"2616";"Lufthansa";"LH 106";2021-11-25 12:15:00;2021-11-25 12:15:00;"Departed";"EDDM";"Airbus A320-100/200";0
"2617";"Lufthansa";"LH 464";2021-11-25 12:00:00;2021-11-25 12:15:00;"Departed";"KMCO";"Airbus A340-300";15
"2618";"Lufthansa";"LH 760";2021-11-25 12:15:00;2021-11-25 12:15:00;"Departed";"VIDP";"Boeing 747-8 Intercontinental";0
"2619";"Lufthansa";"LH 5912";2021-11-25 12:15:00;2021-11-25 12:15:00;"Departed";"LGIR";"Airbus A320-100/200";0
"2620";"Lufthansa";"LH 1128";2021-11-25 12:20:00;2021-11-25 12:20:00;"Departed";"LEBL";"Airbus A321-100/200";0
"2621";"Lufthansa";"LH 1414";2021-11-25 12:00:00;2021-11-25 12:20:00;"Departed";"LDZA";"Airbus A319";20
"2622";"Lufthansa";"LH 1472";2021-11-25 12:20:00;2021-11-25 12:20:00;"Departed";"LRCL";"Airbus A319";0
"2623";"Lufthansa";"LH 52";2021-11-25 12:20:00;2021-11-25 12:20:00;"Departed";"EDDV";"Embraer EMB 190";0
"2624";"Lufthansa";"LH 648";2021-11-25 12:20:00;2021-11-25 12:20:00;"Departed";"UAAA";"Airbus A330-300";0
"2625";"Lufthansa";"LH 470";2021-11-25 12:25:00;2021-11-25 12:25:00;"Departed";"CYYZ";"Airbus A350-900";0
"2626";"Lufthansa";"LH 806";2021-11-25 12:25:00;2021-11-25 12:25:00;"Departed";"ESSA";"Airbus A320";0
"2627";"Lufthansa";"LH 6980";2021-11-25 12:25:00;2021-11-25 12:25:00;"Departed";"LPPT";"Airbus A320";0
"2628";"Lufthansa";"LH 1150";2021-11-25 12:30:00;2021-11-25 12:30:00;"Departed";"LEMG";"Airbus A321-100/200";0
"2629";"Lufthansa";"LH 402";2021-11-25 12:30:00;2021-11-25 12:30:00;"Departed";"KEWR";"Boeing 747-8 Intercontinental";0
"2630";"Lufthansa";"LH 6792";2021-11-25 12:30:00;2021-11-25 12:30:00;"Departed";"CYYC";"Boeing 787-9 Dreamliner";0
"2631";"Lufthansa";"LH 882";2021-11-25 12:50:00;2021-11-25 12:50:00;"Departed";"EETN";"Airbus A321";0
"2632";"Lufthansa";"LH 1004";2021-11-18 06:25:00;2021-11-18 06:25:00;"Departed";"EBBR";"Airbus A320-100/200";0
"2633";"Lufthansa";"LH 174";2021-11-18 06:45:00;2021-11-18 06:45:00;"Departed";"EDDB";"Airbus A320-100/200";0
"2634";"Lufthansa";"LH 824";2021-11-18 06:55:00;2021-11-18 06:55:00;"Departed";"EKCH";"Airbus A320-200 (Sharklets)";0
"2635";"Lufthansa";"LH 728";2021-11-17 21:05:00;2021-11-18 14:00:00;"Delayed";"ZSPD";"Boeing 747-200 Mixed Configuration";1015
"2636";"Lufthansa";"LH 9416";2021-11-18 13:10:00;2021-11-18 13:10:00;"Departed";"LTBJ";"Boeing 737-800";0
"2637";"Lufthansa";"LH 9657";2021-11-18 13:15:00;2021-11-18 13:15:00;"Departed";"OMAA";"Boeing 787";0
"2638";"Lufthansa";"LH 188";2021-11-18 13:45:00;2021-11-18 13:45:00;"Departed";"EDDB";"Canadair CRJ 900NG";0
"2639";"Lufthansa";"LH 612";2021-11-18 13:15:00;2021-11-18 13:15:00;"Departed";"UBBB";"Airbus A320-200 (Sharklets)";0
"2640";"Lufthansa";"LH 690";2021-12-19 16:55:00;2021-12-19 17:15:00;"Departed";"LLBG";"Airbus A321 NEO";20
"2641";"Lufthansa";"LH 116";2021-12-19 17:15:00;2021-12-19 17:15:00;"Departed";"EDDM";"Airbus A320-200 (Sharklets)";0
"2642";"Lufthansa";"LH 1438";2021-12-19 17:15:00;2021-12-19 17:15:00;"Departed";"ULLI";"Airbus A320 NEO";0
"2643";"Lufthansa";"LH 796";2021-12-19 17:15:00;2021-12-19 17:15:00;"Departed";"VHHH";"Airbus A340-300";0
"2644";"Lufthansa";"LH 5914";2021-12-19 17:15:00;2021-12-19 17:15:00;"Departed";"LGAV";"Airbus A321 NEO";0
"2645";"Lufthansa";"LH 807";2021-12-19 17:30:00;2021-12-19 17:30:00;"Departed";"ESSA";"Airbus A321-100/200";0
"2646";"Lufthansa";"LH 190";2021-12-19 17:45:00;2021-12-19 17:45:00;"Departed";"EDDB";"Airbus A320-200 (Sharklets)";0
"2647";"Lufthansa";"LH 5YX";2022-01-14 21:13:00;2022-01-14 21:13:00;"Departed";"LBWN";"Embraer EMB 190";0
"2648";"Lufthansa";"LH 3PN";2022-01-14 21:24:00;2022-01-14 21:24:00;"Departed";"SBGR";"Boeing 747-8 Intercontinental";0
"2649";"Lufthansa";"LH 239";2022-01-14 20:55:00;2022-01-14 21:42:00;"Delayed";"LIRF";"Airbus A320 NEO";47
"2650";"Lufthansa";"LH 4912";2021-11-05 19:45:00;2021-11-05 19:45:00;"Departed";"RJTT";"Boeing 787-9 Dreamliner";0
"2651";"Lufthansa";"LH 5778";2021-11-05 19:50:00;2021-11-05 20:10:00;"Departed";"LSZH";"Airbus A320-100/200";20
"2652";"Lufthansa";"LH 6002";2021-11-05 19:55:00;2021-11-05 19:55:00;"Departed";"LDZA";"Airbus A319";0
"2653";"Lufthansa";"LH 9694";2021-11-05 20:35:00;2021-11-05 20:35:00;"Departed";"HAAB";"Airbus A350-900";0
"2654";"Lufthansa";"LH 216";2021-11-05 20:10:00;2021-11-05 20:10:00;"Departed";"EDDC";"Embraer EMB 190";0
"2655";"Lufthansa";"LH 36";2021-11-05 20:30:00;2021-11-05 20:30:00;"Departed";"EDDH";"Airbus A320-100/200";0
"2656";"Lufthansa";"LH 88";2021-11-05 20:20:00;2021-11-05 20:20:00;"Departed";"EDDL";"Airbus A321-100/200";0
"2657";"Lufthansa";"LH 150";2021-11-05 20:20:00;2021-11-05 21:05:00;"Departed";"EDDN";"Airbus A319";45
"2658";"Lufthansa";"LH 136";2021-11-05 21:05:00;2021-11-05 21:05:00;"Departed";"EDDS";"Airbus A320-100/200";0
"2659";"Lufthansa";"LH 122";2021-11-05 20:15:00;2021-11-05 20:15:00;"Departed";"EDDM";"Airbus A320-200 (Sharklets)";0
"2660";"Lufthansa";"LH 202";2021-11-05 20:15:00;2021-11-05 20:15:00;"Departed";"EDDB";"Airbus A320";0
"2661";"Lufthansa";"LH 948";2021-11-05 20:50:00;2021-11-05 20:50:00;"Departed";"EGCC";"Airbus A320-100/200";0
"2662";"Lufthansa";"LH 922";2021-11-05 20:30:00;2021-11-05 20:30:00;"Departed";"EGLL";"Airbus A320";0
"2663";"Lufthansa";"LH 1002";2021-11-05 19:50:00;2021-11-05 19:50:00;"Departed";"EHAM";"Airbus A320-200 (Sharklets)";0
"2664";"Lufthansa";"LH 982";2021-11-05 20:50:00;2021-11-05 20:50:00;"Departed";"EIDW";"Airbus A321-100/200";0
"2665";"Lufthansa";"LH 842";2021-11-05 20:55:00;2021-11-05 20:55:00;"Departed";"EKBI";"Airbus A319";0
"2666";"Lufthansa";"LH 832";2021-11-05 21:00:00;2021-11-05 21:00:00;"Departed";"EKCH";"Airbus A320";0
"2667";"Lufthansa";"LH 360";2021-11-05 20:40:00;2021-11-05 20:40:00;"Departed";"EDDW";"Airbus A319";0
"2668";"Lufthansa";"LH 58";2021-11-05 20:20:00;2021-11-05 20:20:00;"Departed";"EDDV";"Airbus A319";0
"2669";"Lufthansa";"LH 1378";2021-11-05 20:40:00;2021-11-05 20:40:00;"Departed";"EPGD";"Canadair CRJ 900NG";0
"2670";"Lufthansa";"LH 1370";2021-11-05 20:40:00;2021-11-05 20:40:00;"Departed";"EPKK";"Airbus A321";0
"2671";"Lufthansa";"LH 1362";2021-11-05 21:05:00;2021-11-05 21:05:00;"Departed";"EPKT";"Canadair CRJ 900NG";0
"2672";"Lufthansa";"LH 1380";2021-11-05 20:10:00;2021-11-05 20:10:00;"Departed";"EPPO";"Canadair CRJ 900";0
"2673";"Lufthansa";"LH 1352";2021-11-05 20:10:00;2021-11-05 20:10:00;"Departed";"EPWA";"Airbus A320";0
"2674";"Lufthansa";"LH 854";2021-11-05 20:40:00;2021-11-05 20:40:00;"Departed";"EFHK";"Airbus A320 NEO";0
"2675";"Lufthansa";"LH 820";2021-11-05 20:40:00;2021-11-05 20:40:00;"Departed";"ESGG";"Airbus A321-100/200";0
"2676";"Lufthansa";"LH 864";2021-11-05 20:40:00;2021-11-05 20:40:00;"Departed";"ENGM";"Airbus A320";0
"2677";"Lufthansa";"LH 398";2021-11-05 20:30:00;2021-11-05 20:30:00;"Departed";"ELLX";"Canadair CRJ 900NG";0
"2678";"Lufthansa";"LH 808";2021-11-05 20:30:00;2021-11-05 20:30:00;"Departed";"ESSA";"Airbus A321-100/200";0
"2679";"Lufthansa";"LH 1374";2021-11-05 20:55:00;2021-11-05 20:55:00;"Departed";"EPWR";"Canadair CRJ 900NG";0
"2680";"Lufthansa";"LH 888";2021-11-05 19:40:00;2021-11-05 19:40:00;"Departed";"EYVI";"Airbus A321-100/200";0
"2681";"Lufthansa";"LH 1454";2021-11-05 19:40:00;2021-11-05 19:40:00;"Departed";"LATI";"Embraer EMB 190";0
"2682";"Lufthansa";"LH 572";2021-11-05 20:50:00;2021-11-05 20:40:00;"Departed";"FAOR";"Boeing 747-8 Intercontinental";-10
"2683";"Lufthansa";"LH 1146";2021-11-05 20:00:00;2021-11-05 20:15:00;"Departed";"LEBB";"Airbus A321 NEO";15
"2684";"Lufthansa";"LH 1100";2021-11-05 20:00:00;2021-11-05 20:15:00;"Departed";"LFBO";"Airbus A320 NEO";15
"2685";"Lufthansa";"LH 1082";2021-11-05 20:30:00;2021-11-05 20:30:00;"Departed";"LFLL";"Airbus A320-100/200";0
"2686";"Lufthansa";"LH 1404";2021-11-05 19:40:00;2021-11-05 19:40:00;"Departed";"LDZA";"Airbus A319";0
"2687";"Lufthansa";"LH 1208";2021-11-05 20:00:00;2021-11-05 20:00:00;"Departed";"LFSB";"Canadair CRJ 900NG";0
"2688";"Lufthansa";"LH 1342";2021-11-05 20:20:00;2021-11-05 20:20:00;"Departed";"LHBP";"Airbus A320-200 (Sharklets)";0
"2689";"Lufthansa";"LH 1050";2021-11-05 20:15:00;2021-11-05 20:15:00;"Departed";"LFPG";"Airbus A320-200 (Sharklets)";0
"2690";"Lufthansa";"LH 332";2021-11-05 20:30:00;2021-11-05 20:30:00;"Departed";"LIPZ";"Airbus A320 NEO";0
"2691";"Lufthansa";"LH 1138";2021-11-05 20:15:00;2021-11-05 20:15:00;"Departed";"LEBL";"Airbus A321";0
"2692";"Lufthansa";"LH 1068";2021-11-05 20:20:00;2021-11-05 20:20:00;"Departed";"LFMN";"Airbus A320-100/200";0
"2693";"Lufthansa";"LH 242";2021-11-05 20:05:00;2021-11-05 20:05:00;"Departed";"LIRF";"Airbus A320";0
"2694";"Lufthansa";"LH 1402";2021-11-05 20:00:00;2021-11-05 20:00:00;"Departed";"LKPR";"Airbus A320-100/200";0
"2695";"Lufthansa";"LH 278";2021-11-05 20:50:00;2021-11-05 20:50:00;"Departed";"LIML";"Airbus A321-100/200";0
"2696";"Lufthansa";"LH 336";2021-11-05 19:55:00;2021-11-05 19:55:00;"Departed";"LIRN";"Airbus A320-200 (Sharklets)";0
